backbone,resolution,status,best_val_l1,final_val_l1,final_val_psnr,final_val_ssim,params_M,batch_size,epochs_done,total_time_min
resnet-10,224,ok,0.05477426141500473,0.054775388538837434,21.979783041793517,0.6691245937347412,13.033923,16,40,4.829687599341074
resnet-18,224,ok,0.0549844428896904,0.055126930177211764,21.974070455622204,0.673919768333435,20.928707,16,40,5.065363788604737
resnet-34,224,ok,0.05274149358272553,0.05275588065385819,22.334008767995037,0.692673590183258,33.621187,16,40,5.73661640882492
resnet-50,224,ok,0.05683887153863907,0.05692714095115661,21.78195588382477,0.6747595739364624,66.593795,16,40,6.847003519535065
resnet-101,224,ok,0.056590870916843415,0.05670248776674271,21.819343326557714,0.6770556426048279,90.347011,16,40,8.877292108535766
resnet-152,224,ok,0.054965381026268,0.054965381026268,22.052868420907608,0.6897559022903442,109.913091,16,40,10.982613074779511
resnet-10,448,ok,0.04556814014911652,0.04556814014911652,23.3048865854788,0.7107316136360169,13.033923,8,40,17.17661275466283
resnet-18,448,ok,0.046488856375217436,0.04658947914838791,23.220352614838806,0.7112720942497254,20.928707,8,40,17.540593020121257
resnet-34,448,ok,0.04350752457976341,0.04386510521173477,23.695336045898998,0.7391000628471375,33.621187,8,40,18.85948510169983
resnet-50,448,ok,0.047476949095726015,0.047476949095726015,23.14587698118044,0.7214531755447388,66.593795,8,40,24.152148660024007
resnet-101,448,ok,0.04792725384235382,0.04792725384235382,23.105993212196807,0.7242841958999634,90.347011,8,40,29.474100530147552
resnet-152,448,ok,0.046661251187324525,0.046661251187324525,23.351528172526287,0.7309310555458068,109.913091,8,40,36.07139651377996
